iso3,1990,1995,2000,2005,2010,2015,2018
AFG,62.0,53.0,49.0,49.0,56.0,47.0,58.0
ARE,48.0,54.0,47.0,46.0,46.0,57.0,50.0
BHR,48.0,54.0,54.0,53.0,51.0,51.0,47.0
DJI,52.0,45.0,39.0,46.0,55.0,52.0,50.0
EGY,50.0,44.0,47.0,43.0,43.0,45.0,42.0
IRN,48.0,45.0,47.0,53.0,54.0,54.0,55.0
IRQ,52.0,53.0,42.0,44.0,32.0,31.0,36.0
JOR,50.0,44.0,51.0,54.0,50.0,49.0,48.0
KWT,44.0,49.0,52.0,48.0,44.0,52.0,47.0
LBN,60.0,66.0,61.0,51.0,64.0,56.0,58.0
LBR,40.0,41.0,39.0,35.0,33.0,31.0,35.0
MAR,43.0,44.0,49.0,48.0,50.0,48.0,48.0
OMN,38.0,34.0,39.0,48.0,43.0,50.0,44.0
PAK,53.0,54.0,52.0,51.0,48.0,48.0,46.0
PSE,47.0,50.0,51.0,52.0,50.0,51.0,50.0
QAT,50.0,49.0,49.0,51.0,49.0,51.0,50.0
SAU,35.0,45.0,51.0,48.0,42.0,48.0,52.0
SDN,42.0,37.0,37.0,38.0,42.0,42.0,44.0
SYR,48.0,52.0,51.0,52.0,51.0,52.0,53.0
TUN,43.0,41.0,44.0,46.0,43.0,40.0,43.0
YEM,43.0,42.0,45.0,40.0,50.0,41.0,40.0
