iso3,1990,1995,2000,2005,2010,2015,2018
AFG,63.0,55.0,53.0,53.0,56.0,48.0,56.0
ARE,51.0,56.0,43.0,47.0,46.0,58.0,52.0
BHR,50.0,51.0,54.0,52.0,51.0,53.0,48.0
DJI,51.0,46.0,41.0,44.0,57.0,54.0,55.0
EGY,47.0,45.0,43.0,43.0,46.0,46.0,39.0
IRN,48.0,46.0,46.0,50.0,55.0,56.0,58.0
IRQ,50.0,50.0,42.0,44.0,32.0,32.0,33.0
JOR,51.0,45.0,51.0,53.0,51.0,47.0,50.0
KWT,44.0,48.0,53.0,46.0,46.0,50.0,47.0
LBN,61.0,64.0,61.0,50.0,61.0,57.0,62.0
LBR,42.0,42.0,41.0,36.0,35.0,32.0,36.0
MAR,45.0,45.0,46.0,51.0,44.0,47.0,49.0
OMN,39.0,32.0,39.0,48.0,45.0,50.0,44.0
PAK,51.0,54.0,52.0,52.0,44.0,44.0,48.0
PSE,46.0,49.0,51.0,53.0,49.0,50.0,48.0
QAT,46.0,54.0,52.0,52.0,51.0,49.0,49.0
SAU,37.0,43.0,50.0,46.0,41.0,46.0,49.0
SDN,40.0,39.0,39.0,39.0,41.0,44.0,40.0
SYR,49.0,50.0,53.0,52.0,49.0,52.0,51.0
TUN,41.0,39.0,42.0,45.0,44.0,40.0,40.0
YEM,44.0,43.0,44.0,40.0,52.0,41.0,42.0
