iso3,1990,1995,2000,2005,2010,2015,2018
AFG,4.0,3.0,4.0,4.0,3.0,2.0,2.0
ARE,2.0,3.0,3.0,3.0,3.0,4.0,4.0
BHR,4.0,5.0,5.0,5.0,4.0,4.0,5.0
DJI,3.0,1.0,1.0,2.0,4.0,2.0,1.0
EGY,3.0,4.0,4.0,4.0,3.0,3.0,3.0
IRN,3.0,2.0,4.0,5.0,5.0,5.0,5.0
IRQ,5.0,5.0,5.0,4.0,4.0,1.0,2.0
JOR,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KWT,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LBN,5.0,5.0,5.0,5.0,5.0,5.0,5.0
LBR,3.0,2.0,2.0,1.0,1.0,2.0,2.0
MAR,5.0,4.0,5.0,5.0,5.0,5.0,4.0
OMN,2.0,3.0,3.0,3.0,2.0,3.0,3.0
PAK,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PSE,2.0,3.0,2.0,2.0,3.0,3.0,4.0
QAT,4.0,4.0,4.0,4.0,4.0,4.0,4.0
SAU,5.0,5.0,2.0,3.0,2.0,4.0,3.0
SDN,4.0,4.0,3.0,2.0,2.0,2.0,2.0
SYR,2.0,2.0,2.0,2.0,2.0,3.0,3.0
TUN,1.0,2.0,3.0,3.0,5.0,5.0,5.0
YEM,1.0,1.0,1.0,1.0,1.0,1.0,1.0
