iso3,1990,1995,2000,2005,2010,2015,2018
AFG,3.0,2.0,2.0,2.0,3.0,2.0,2.0
ARE,5.0,5.0,4.0,4.0,5.0,5.0,5.0
BHR,4.0,4.0,4.0,4.0,4.0,4.0,4.0
DJI,1.0,1.0,1.0,2.0,1.0,1.0,1.0
EGY,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IRN,3.0,3.0,3.0,3.0,3.0,3.0,3.0
IRQ,1.0,3.0,1.0,1.0,2.0,2.0,2.0
JOR,3.0,3.0,4.0,5.0,4.0,4.0,4.0
KWT,5.0,4.0,5.0,4.0,5.0,5.0,5.0
LBN,5.0,5.0,5.0,5.0,5.0,5.0,5.0
LBR,2.0,3.0,3.0,2.0,2.0,2.0,2.0
MAR,2.0,2.0,3.0,3.0,2.0,2.0,2.0
OMN,2.0,2.0,2.0,3.0,3.0,3.0,3.0
PAK,2.0,1.0,1.0,1.0,1.0,1.0,1.0
PSE,4.0,5.0,5.0,5.0,3.0,3.0,3.0
QAT,4.0,4.0,3.0,3.0,4.0,4.0,4.0
SAU,3.0,2.0,2.0,2.0,2.0,3.0,3.0
SDN,1.0,1.0,2.0,1.0,1.0,1.0,1.0
SYR,4.0,4.0,4.0,4.0,4.0,4.0,4.0
TUN,5.0,5.0,5.0,5.0,5.0,5.0,5.0
YEM,1.0,1.0,1.0,1.0,1.0,1.0,1.0
