iso3,1990,1995,2000,2005,2010,2015,2018
AFG,5.0,5.0,5.0,5.0,5.0,5.0,5.0
ARE,5.0,4.0,1.0,2.0,2.0,5.0,4.0
BHR,3.0,2.0,2.0,1.0,1.0,2.0,2.0
DJI,5.0,5.0,5.0,5.0,4.0,5.0,5.0
EGY,4.0,3.0,4.0,4.0,3.0,3.0,3.0
IRN,1.0,1.0,1.0,4.0,5.0,3.0,5.0
IRQ,5.0,5.0,3.0,2.0,2.0,1.0,1.0
JOR,1.0,1.0,1.0,2.0,4.0,4.0,3.0
KWT,1.0,1.0,4.0,3.0,2.0,4.0,2.0
LBN,3.0,3.0,3.0,3.0,3.0,3.0,4.0
LBR,1.0,5.0,5.0,5.0,1.0,1.0,1.0
MAR,4.0,3.0,3.0,4.0,3.0,3.0,3.0
OMN,2.0,2.0,3.0,3.0,4.0,4.0,4.0
PAK,4.0,4.0,4.0,5.0,5.0,5.0,5.0
PSE,2.0,2.0,1.0,1.0,1.0,1.0,1.0
QAT,3.0,3.0,2.0,1.0,2.0,2.0,2.0
SAU,3.0,4.0,4.0,3.0,4.0,2.0,3.0
SDN,4.0,4.0,5.0,4.0,5.0,4.0,4.0
SYR,2.0,2.0,2.0,1.0,1.0,1.0,1.0
TUN,1.0,1.0,1.0,1.0,1.0,1.0,1.0
YEM,2.0,1.0,2.0,2.0,3.0,2.0,2.0
