iso3,1990,1995,2000,2005,2010,2015,2018
AFG,3.0,3.0,3.0,4.0,4.0,4.0,4.0
ARE,1.0,1.0,1.0,2.0,2.0,2.0,2.0
BHR,2.0,2.0,2.0,2.0,2.0,2.0,2.0
DJI,4.0,4.0,3.0,4.0,5.0,4.0,4.0
EGY,4.0,4.0,4.0,4.0,4.0,4.0,4.0
IRN,2.0,3.0,2.0,2.0,3.0,3.0,3.0
IRQ,1.0,3.0,1.0,2.0,2.0,3.0,3.0
JOR,2.0,2.0,2.0,2.0,2.0,3.0,2.0
KWT,2.0,1.0,1.0,2.0,2.0,1.0,1.0
LBN,2.0,2.0,2.0,2.0,2.0,2.0,2.0
LBR,5.0,5.0,5.0,5.0,5.0,5.0,5.0
MAR,3.0,3.0,3.0,2.0,2.0,2.0,2.0
OMN,2.0,2.0,2.0,2.0,1.0,1.0,2.0
PAK,4.0,4.0,4.0,4.0,4.0,4.0,4.0
PSE,2.0,2.0,2.0,2.0,2.0,2.0,2.0
QAT,2.0,2.0,2.0,2.0,2.0,2.0,2.0
SAU,2.0,2.0,2.0,2.0,2.0,2.0,2.0
SDN,3.0,3.0,4.0,4.0,3.0,4.0,4.0
SYR,2.0,2.0,2.0,2.0,2.0,2.0,2.0
TUN,3.0,3.0,2.0,2.0,2.0,2.0,2.0
YEM,3.0,4.0,3.0,3.0,4.0,4.0,3.0
