iso3,1990,1995,2000,2005,2010,2015,2018
AFG,3.0,1.0,1.0,1.0,1.0,2.0,2.0
ARE,5.0,5.0,4.0,3.0,3.0,4.0,4.0
BHR,4.0,4.0,4.0,4.0,4.0,4.0,4.0
DJI,1.0,1.0,1.0,2.0,3.0,5.0,5.0
EGY,3.0,3.0,3.0,3.0,3.0,3.0,3.0
IRN,5.0,5.0,5.0,5.0,5.0,5.0,5.0
IRQ,4.0,4.0,4.0,4.0,4.0,4.0,4.0
JOR,5.0,5.0,5.0,5.0,5.0,5.0,5.0
KWT,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LBN,5.0,5.0,5.0,5.0,5.0,5.0,5.0
LBR,1.0,2.0,1.0,1.0,1.0,1.0,1.0
MAR,2.0,1.0,2.0,2.0,3.0,3.0,3.0
OMN,3.0,4.0,4.0,4.0,5.0,4.0,4.0
PAK,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PSE,3.0,4.0,3.0,3.0,3.0,4.0,4.0
QAT,4.0,5.0,4.0,4.0,4.0,4.0,4.0
SAU,3.0,3.0,3.0,4.0,2.0,4.0,5.0
SDN,3.0,3.0,2.0,2.0,2.0,3.0,2.0
SYR,3.0,4.0,3.0,3.0,3.0,4.0,4.0
TUN,2.0,2.0,2.0,2.0,2.0,2.0,2.0
YEM,1.0,1.0,1.0,1.0,1.0,1.0,1.0
