iso3,1990,1995,2000,2005,2010,2015,2018
AFG,4.0,1.0,2.0,1.0,4.0,2.0,5.0
ARE,1.0,1.0,3.0,1.0,3.0,4.0,2.0
BHR,3.0,3.0,4.0,2.0,3.0,2.0,2.0
DJI,3.0,2.0,2.0,2.0,2.0,2.0,2.0
EGY,4.0,1.0,4.0,2.0,3.0,4.0,5.0
IRN,2.0,1.0,2.0,5.0,3.0,5.0,2.0
IRQ,1.0,3.0,2.0,1.0,2.0,1.0,3.0
JOR,4.0,3.0,4.0,3.0,4.0,4.0,3.0
KWT,3.0,2.0,2.0,3.0,3.0,2.0,3.0
LBN,2.0,3.0,4.0,1.0,3.0,4.0,5.0
LBR,4.0,2.0,3.0,2.0,3.0,1.0,2.0
MAR,2.0,4.0,3.0,2.0,5.0,3.0,3.0
OMN,4.0,1.0,1.0,1.0,1.0,4.0,2.0
PAK,3.0,3.0,5.0,4.0,3.0,5.0,3.0
PSE,2.0,2.0,4.0,5.0,4.0,2.0,3.0
QAT,3.0,1.0,1.0,5.0,3.0,3.0,4.0
SAU,1.0,1.0,3.0,2.0,1.0,1.0,2.0
SDN,5.0,1.0,2.0,1.0,4.0,2.0,5.0
SYR,5.0,5.0,5.0,5.0,5.0,5.0,5.0
TUN,5.0,5.0,5.0,5.0,5.0,5.0,5.0
YEM,5.0,5.0,5.0,5.0,5.0,5.0,5.0
