iso3,1990,1995,2000,2005,2010,2015,2018
AFG,5.0,4.0,2.0,1.0,5.0,2.0,5.0
ARE,5.0,5.0,4.0,5.0,5.0,5.0,5.0
BHR,4.0,5.0,5.0,5.0,5.0,5.0,5.0
DJI,1.0,1.0,1.0,4.0,2.0,4.0,1.0
EGY,1.0,2.0,3.0,1.0,2.0,2.0,1.0
IRN,3.0,4.0,3.0,3.0,3.0,3.0,3.0
IRQ,5.0,5.0,2.0,1.0,1.0,4.0,4.0
JOR,5.0,5.0,5.0,5.0,4.0,4.0,4.0
KWT,5.0,5.0,5.0,5.0,5.0,5.0,5.0
LBN,5.0,5.0,5.0,5.0,5.0,5.0,5.0
LBR,4.0,5.0,4.0,3.0,2.0,2.0,1.0
MAR,4.0,3.0,4.0,4.0,4.0,4.0,5.0
OMN,1.0,1.0,1.0,3.0,2.0,5.0,5.0
PAK,3.0,4.0,3.0,1.0,2.0,2.0,2.0
PSE,4.0,4.0,5.0,4.0,5.0,5.0,5.0
QAT,4.0,5.0,5.0,5.0,5.0,5.0,5.0
SAU,3.0,3.0,4.0,3.0,4.0,5.0,5.0
SDN,3.0,3.0,3.0,3.0,4.0,4.0,4.0
SYR,4.0,4.0,5.0,5.0,5.0,5.0,5.0
TUN,4.0,4.0,5.0,3.0,3.0,3.0,3.0
YEM,2.0,2.0,3.0,2.0,2.0,1.0,2.0
