iso3,1990,1995,2000,2005,2010,2015,2018,2020
AFG,1.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0
ARE,4.0,4.0,4.0,5.0,3.0,3.0,2.0,2.0
BHR,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0
DJI,4.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0
EGY,5.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0
IRN,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0
IRQ,4.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0
JOR,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
KWT,3.0,5.0,5.0,5.0,3.0,4.0,3.0,4.0
LBN,5.0,5.0,5.0,3.0,5.0,3.0,4.0,3.0
LBR,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
MAR,3.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0
OMN,3.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0
PAK,5.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0
PSE,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
QAT,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0
SAU,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0
SDN,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
SYR,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
TUN,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0
YEM,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0
