iso3,1990,1995,2000,2005,2010,2015,2018
AFG,61.0,59.0,55.0,53.0,58.0,51.0,61.0
ARE,53.0,55.0,49.0,51.0,55.0,57.0,54.0
BHR,53.0,52.0,55.0,55.0,54.0,53.0,51.0
DJI,55.0,47.0,43.0,51.0,60.0,54.0,55.0
EGY,49.0,50.0,48.0,43.0,48.0,48.0,46.0
IRN,50.0,52.0,50.0,57.0,58.0,59.0,58.0
IRQ,55.0,56.0,48.0,52.0,38.0,43.0,44.0
JOR,55.0,51.0,52.0,56.0,55.0,56.0,53.0
KWT,55.0,50.0,54.0,50.0,53.0,51.0,48.0
LBN,61.0,64.0,62.0,55.0,58.0,60.0,60.0
LBR,43.0,48.0,47.0,40.0,40.0,37.0,39.0
MAR,49.0,47.0,51.0,53.0,55.0,52.0,52.0
OMN,43.0,38.0,44.0,49.0,48.0,54.0,51.0
PAK,53.0,56.0,54.0,53.0,54.0,53.0,53.0
PSE,58.0,56.0,58.0,58.0,57.0,56.0,56.0
QAT,52.0,53.0,52.0,56.0,52.0,52.0,52.0
SAU,47.0,50.0,54.0,52.0,46.0,50.0,53.0
SDN,51.0,44.0,49.0,45.0,50.0,48.0,48.0
SYR,58.0,58.0,55.0,55.0,56.0,57.0,57.0
TUN,48.0,47.0,47.0,45.0,48.0,46.0,46.0
YEM,46.0,45.0,46.0,44.0,49.0,46.0,47.0
