iso3,1990,1995,2000,2005,2010,2015,2018
AFG,61.0,55.0,55.0,51.0,60.0,52.0,62.0
ARE,54.0,57.0,50.0,51.0,57.0,61.0,55.0
BHR,56.0,53.0,55.0,54.0,54.0,54.0,53.0
DJI,55.0,47.0,44.0,52.0,60.0,56.0,55.0
EGY,49.0,47.0,50.0,43.0,48.0,47.0,47.0
IRN,52.0,52.0,50.0,58.0,59.0,59.0,58.0
IRQ,56.0,55.0,48.0,47.0,40.0,41.0,44.0
JOR,56.0,51.0,53.0,55.0,55.0,55.0,54.0
KWT,53.0,51.0,52.0,52.0,53.0,51.0,50.0
LBN,60.0,64.0,62.0,55.0,62.0,59.0,61.0
LBR,42.0,47.0,44.0,40.0,40.0,36.0,38.0
MAR,52.0,47.0,49.0,51.0,55.0,52.0,54.0
OMN,43.0,36.0,43.0,51.0,48.0,52.0,50.0
PAK,54.0,55.0,56.0,53.0,54.0,54.0,54.0
PSE,56.0,56.0,57.0,58.0,58.0,56.0,55.0
QAT,55.0,52.0,53.0,58.0,53.0,53.0,55.0
SAU,48.0,50.0,55.0,52.0,47.0,51.0,54.0
SDN,51.0,44.0,45.0,46.0,50.0,48.0,49.0
SYR,57.0,58.0,55.0,56.0,56.0,58.0,58.0
TUN,47.0,48.0,47.0,48.0,48.0,47.0,48.0
YEM,46.0,45.0,46.0,45.0,49.0,46.0,47.0
