iso3,1990,1995,2000,2005,2010,2015,2018
AFG,62.0,57.0,57.0,54.0,59.0,53.0,60.0
ARE,53.0,54.0,49.0,51.0,54.0,59.0,53.0
BHR,55.0,53.0,55.0,54.0,53.0,52.0,51.0
DJI,55.0,46.0,45.0,52.0,60.0,55.0,56.0
EGY,48.0,49.0,49.0,42.0,48.0,48.0,42.0
IRN,52.0,53.0,51.0,54.0,58.0,58.0,60.0
IRQ,54.0,56.0,48.0,49.0,39.0,43.0,42.0
JOR,55.0,52.0,52.0,57.0,54.0,52.0,53.0
KWT,54.0,50.0,53.0,48.0,52.0,52.0,50.0
LBN,61.0,64.0,62.0,57.0,60.0,59.0,64.0
LBR,44.0,48.0,47.0,41.0,40.0,36.0,37.0
MAR,52.0,47.0,51.0,51.0,51.0,49.0,50.0
OMN,43.0,40.0,41.0,49.0,48.0,56.0,52.0
PAK,54.0,57.0,54.0,54.0,52.0,53.0,53.0
PSE,55.0,56.0,57.0,58.0,58.0,57.0,56.0
QAT,53.0,53.0,53.0,52.0,52.0,52.0,54.0
SAU,48.0,49.0,53.0,50.0,46.0,50.0,53.0
SDN,51.0,44.0,44.0,49.0,50.0,50.0,47.0
SYR,56.0,56.0,54.0,56.0,56.0,57.0,57.0
TUN,47.0,46.0,46.0,45.0,46.0,47.0,44.0
YEM,46.0,45.0,46.0,44.0,49.0,46.0,47.0
